gene,fc,repeat,abs_ref,abs_alt
AL109927.1,0.998536288838787,8,108.82860340697246,108.66930976550645
ENSG00000227050,0.9877307809972921,8,40.814988812143596,40.314220775814334
ENSG00000286433,0.9967306900435853,8,20.56777073797589,20.50052832032097
EYA3,0.99943093284094,8,1434.5029502315238,1433.6866217129723
PPP1R8,0.9951710123745009,8,1436.289229637629,1429.3534067210712
RPA2,1.0049350459198405,8,1285.725423526782,1292.070537532193
SCARNA1,0.9951522817174715,8,1.1305847179540778,1.1251039617469045
SMPDL3B,0.9867037460708163,8,136.84079792105598,135.0213279240255
THEMIS2,0.981582722597646,8,8893.604000073472,8729.808028097434
XKR8,0.9946984820406565,8,571.7676195990974,568.7363832952217
AL109927.1,0.9986843608661686,12,108.82860340697246,108.68542423745004
ENSG00000227050,0.9989311866977433,12,37.39642711104092,37.356457312287766
ENSG00000286433,0.999123053321223,12,20.56777073797589,20.549733899737376
EYA3,1.0125070514939236,12,1433.1649177356744,1451.0895851610794
PPP1R8,0.9949399371950911,12,1436.289229637629,1429.0215159296483
RPA2,1.0017076024943976,12,1285.725423526782,1287.9209314671066
SCARNA1,1.006510397123912,12,1.1305847179540778,1.137945273450185
SMPDL3B,0.9793329596576406,12,136.25564256370177,133.43964170196364
THEMIS2,0.9772659888833525,12,8893.604000073472,8691.41670786874
XKR8,1.012530263383847,12,569.8359056968691,576.976099680824
AL109927.1,0.9997301659772062,15,108.82860340697246,108.79923774712013
ENSG00000227050,1.0032917800027463,15,42.573218233628275,42.71335990206229
ENSG00000286433,1.0006612385000972,15,20.56777073797589,20.581370939849013
EYA3,1.0095288580568575,15,1427.7141816585481,1441.318667441335
PPP1R8,0.9990325454806958,15,1436.289229637629,1434.899685131388
RPA2,0.9982943415334748,15,1285.725423526782,1283.5324150725169
SCARNA1,0.9916782677217373,15,1.1305847179540778,1.1211762946133688
SMPDL3B,0.9888013430842787,15,136.25564256370177,134.72976236979972
THEMIS2,0.9601616337475614,15,8893.604000073472,8539.297346614392
XKR8,0.9961601670993462,15,569.8359056968691,567.6478310382004
AL109927.1,1.0014031956420515,7,108.82860340697246,108.98131122900367
ENSG00000227050,0.9644238235426476,7,40.45477844625162,39.01555210970468
ENSG00000286433,1.0013165541286448,7,20.56777073797589,20.594849321457993
EYA3,0.9920093804110998,7,1446.2451481826565,1434.6887533712363
PPP1R8,1.0009473278862795,7,1436.289229637629,1437.6498664776277
RPA2,1.0042055103985161,7,1285.725423526782,1291.1325551650602
SCARNA1,1.0137086043707155,7,1.1305847179540778,1.1460834565600873
SMPDL3B,0.9785118687467197,7,133.99467797466053,131.1153827471
THEMIS2,0.9976102258093004,7,8893.604000073472,8872.350294771793
XKR8,0.9807492522313352,7,570.2015226288017,559.2247169393661
AL109927.1,1.0005396796498747,9,108.82860340697246,108.88733598955548
ENSG00000227050,1.0135758245648678,9,40.51071905238675,41.0606854672386
ENSG00000286433,1.0023976549298073,9,20.56777073797589,20.617085154880943
EYA3,1.0037619412021552,9,1445.653521524635,1451.0919850712994
PPP1R8,0.9977421752485998,9,1436.289229637629,1433.0463402647836
RPA2,0.9983044590720317,9,1285.725423526782,1283.5454234490628
SCARNA1,0.9963611122822276,9,1.1305847179540778,1.1264706471100134
SMPDL3B,1.0108968982034734,9,133.99467797466053,135.4548043403576
THEMIS2,1.0115569591472893,9,8893.604000073472,8996.38701817449
XKR8,1.017918736170634,9,568.767033018145,578.9586194253515
AL109927.1,0.995549375672727,14,108.82860340697246,108.34424817714626
ENSG00000227050,1.0122836761514915,14,42.46317095469198,42.98477479506484
ENSG00000286433,0.9941070173156942,14,20.56777073797589,20.446565221162228
EYA3,1.0012294842335068,14,1443.5243347050032,1445.2991251152064
PPP1R8,0.9884123130617766,14,1436.289229637629,1419.645959691846
RPA2,0.9892096031359664,14,1285.725423526782,1271.8519359487502
SCARNA1,1.0130958867380193,14,1.1305847179540778,1.1453907273681398
SMPDL3B,1.0114644253974763,14,133.83426963203604,135.36860263185824
THEMIS2,0.943869063595657,14,8893.604000073472,8394.397679539938
XKR8,1.0051738431304995,14,568.767033018145,571.7097444247805
AL109927.1,0.9998338835597049,13,108.82860340697246,108.81052518677221
ENSG00000227050,1.018794802932596,13,37.18632398134076,37.88523361235773
ENSG00000286433,1.0025205545404627,13,20.56777073797589,20.619612925896693
EYA3,1.0048342948765974,13,1444.3074536054114,1451.2896617286074
PPP1R8,0.9976544319244063,13,1436.289229637629,1432.9203154732718
RPA2,0.994335604483774,13,1285.725423526782,1278.442566202659
SCARNA1,1.0050406947286215,13,1.1305847179540778,1.136283650382129
SMPDL3B,1.0183524183959445,13,133.83426963203604,136.29045214403882
THEMIS2,0.9519785791512425,13,8893.604000073472,8466.520499523751
XKR8,1.013409779806409,13,568.767033018145,576.3940736920629
AL109927.1,0.9946445631816908,10,108.82860340697246,108.24577869740159
ENSG00000227050,0.9936785034063911,10,40.51071905238675,40.254630679892436
ENSG00000286433,0.9927486522377948,10,20.56777073797589,20.41862667966152
EYA3,0.9738829030610694,10,1444.8522178456362,1407.1168724097329
PPP1R8,0.9878858350068991,10,1436.289229637629,1418.8897849319849
RPA2,0.9944701304045083,10,1285.725423526782,1278.6155295990704
SCARNA1,0.994920943009746,10,1.1305847179540778,1.1248424137392787
SMPDL3B,1.015224341589267,10,134.17737944355758,136.220141701759
